Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,3591090088,4079229980,3591090088,4065199951,4065199951,1943209984
Bitcoin,4073790039,4094070068,3868870117,3924969971,3924969971,1563980032
Bitcoin,3916360107,4031389893,3857729980,3905949951,3905949951,1213830016
Bitcoin,3901469971,3916419922,3613629883,3631040039,3631040039,1411480064
Bitcoin,3796149902,3796149902,3666899902,3682840088,3682840088,768014976
Bitcoin,3681580078,3950250000,3681580078,3926070068,3926070068,1374210048
Bitcoin,3928409912,3969889893,3869899902,3892350098,3892350098,1043740032
Bitcoin,3892939941,4210049805,3884820068,4200669922,4200669922,1686880000
Bitcoin,4197129883,4279310059,4109700195,4174729980,4174729980,1712320000
Bitcoin,4341049805,4403740234,4269810059,4403740234,4403740234,1208210048
Bitcoin,4395810059,4470229980,4377459961,4409319824,4409319824,1431730048
Bitcoin,4408459961,4432470215,4258890137,4317479980,4317479980,1288019968
Bitcoin,4319370117,4352310059,4210419922,4229359863,4229359863,1116770048
Bitcoin,4229879883,4362640137,4164049805,4328410156,4328410156,1161769984
Bitcoin,4429669922,4624140137,4405640137,4610479980,4610479980,1313869952
Bitcoin,4614520020,4878709961,4564250000,4772020020,4772020020,1968739968
Bitcoin,4776209961,4922169922,4765100098,4781990234,4781990234,1597139968
Bitcoin,4789250000,4873729980,4751629883,4826479980,4826479980,1222279936
Bitcoin,4829580078,5446910156,4822000000,5446910156,5446910156,2791610112
Bitcoin,5835959961,5852479980,5478609863,5678189941,5678189941,1976039936
Bitcoin,5687569824,5776229980,5544209961,5725589844,5725589844,2008070016
Bitcoin,5741580078,5800350098,5472720215,5605509766,5605509766,1821570048
Bitcoin,5603819824,5603819824,5151439941,5590689941,5590689941,2399269888
Bitcoin,5583740234,5744350098,5531060059,5708520020,5708520020,1780540032
Bitcoin,6036660156,6076259766,5792339844,6008419922,6008419922,2034630016
Bitcoin,6006000000,6075589844,5732470215,5930319824,5930319824,2401840128
Bitcoin,5935520020,5935520020,5504180176,5526640137,5526640137,2735699968
Bitcoin,5524600098,5754330078,5397879883,5750799805,5750799805,1966989952
Bitcoin,5747950195,5976799805,5721220215,5904830078,5904830078,1905040000
Bitcoin,5754439941,6255709961,5724580078,6153850098,6153850098,2859040000
Bitcoin,6114850098,6214990234,6040850098,6130529785,6130529785,1772150016
Bitcoin,6132020020,6470430176,6103330078,6468399902,6468399902,2311379968
Bitcoin,6440970215,6767310059,6377879883,6767310059,6767310059,2870320128
Bitcoin,6777770020,7367330078,6758720215,7078500000,7078500000,4653770240
Bitcoin,7403220215,7445770020,7007310059,7022759766,7022759766,3111899904
Bitcoin,7023100098,7253319824,7023100098,7144379883,7144379883,2326340096
Bitcoin,7141379883,7776419922,7114020020,7459689941,7459689941,4602200064
Bitcoin,7446830078,7446830078,7101520020,7143580078,7143580078,3226249984
Bitcoin,7173729980,7312000000,6436870117,6618140137,6618140137,5208249856
Bitcoin,5938250000,6811189941,5844290039,6559490234,6559490234,6263249920
Bitcoin,6561479980,6764979980,6461750000,6635750000,6635750000,3197110016
Bitcoin,6634759766,7342250000,6634759766,7315540039,7315540039,4200880128
Bitcoin,7323240234,7967379883,7176580078,7871689941,7871689941,5123809792
Bitcoin,7853569824,8004589844,7561089844,7708990234,7708990234,4651670016
Bitcoin,8039069824,8336860352,7949359863,8200639648,8200639648,3488450048
Bitcoin,8205740234,8348660156,7762709961,8071259766,8071259766,4277609984
Bitcoin,8077950195,8302259766,8075470215,8253549805,8253549805,3633530112
Bitcoin,8074020020,8374160156,7940930176,8253690430,8253690430,5058610176
Bitcoin,9352719727,9818349609,9352719727,9818349609,9818349609,5653320192
Bitcoin,9823429688,10125700195,9736299805,10058799805,10058799805,6348819968
Bitcoin,10077400391,11517400391,9601030273,9888610352,9888610352,11568799744
Bitcoin,9906790039,10801000000,9202049805,10233599609,10233599609,8310689792
Bitcoin,10198599609,11046700195,9694650391,10975599609,10975599609,6783119872
Bitcoin,11315400391,11657200195,11081799805,11657200195,11657200195,6132409856
Bitcoin,11685700195,12032000000,11604599609,11916700195,11916700195,6895260160
Bitcoin,11923400391,14369099609,11923400391,14291500000,14291500000,12656300032
Bitcoin,14266099609,17899699219,14057299805,17899699219,17899699219,17950699520
Bitcoin,17802900391,18353400391,14336900391,16569400391,16569400391,21135998976
Bitcoin,15427400391,17513900391,15404799805,16936800781,16936800781,12153900032
Bitcoin,16919800781,17781800781,16571599609,17415400391,17415400391,14603799552
Bitcoin,17500000000,17653099609,16039700195,16408199219,16408199219,12976900096
Bitcoin,16384599609,17085800781,16185900391,16564000000,16564000000,13777399808
Bitcoin,16601300781,18154099609,16601300781,17706900391,17706900391,14309999616
Bitcoin,19106400391,19371000000,18355900391,19114199219,19114199219,14839499776
Bitcoin,19118300781,19177800781,17275400391,17776699219,17776699219,16894499840
Bitcoin,17760300781,17934699219,16077700195,16624599609,16624599609,22149699584
Bitcoin,16642400391,17567699219,15342700195,15802900391,15802900391,16516599808
Bitcoin,15898000000,15943400391,11833000000,13831799805,13831799805,22197999616
Bitcoin,14036599609,16461199219,14028900391,16099799805,16099799805,13454300160
Bitcoin,16163500000,16930900391,15114299805,15838500000,15838500000,12487600128
Bitcoin,15864099609,15888400391,13937299805,14606500000,14606500000,12336499712
Bitcoin,14695799805,15279000000,14307000000,14656200195,14656200195,13025500160
Bitcoin,13625000000,15444599609,13163599609,14982099609,14982099609,16846600192
Bitcoin,14978200195,15572799805,14844500000,15201000000,15201000000,16871900160
Bitcoin,15270700195,15739700195,14522200195,15599200195,15599200195,21783199744
Bitcoin,15477200195,17705199219,15202799805,17429500000,17429500000,23840899072
