Currency;Country;Label;Value
AED;Emiratos Árabes Unidos;18-6-2016;184
AED;Emiratos Árabes Unidos;25-6-2016;26.83
AED;Emiratos Árabes Unidos;2-7-2016;64.96
AED;Emiratos Árabes Unidos;9-7-2016;20.7727
AED;Emiratos Árabes Unidos;16-7-2016;25.15
AED;Emiratos Árabes Unidos;23-7-2016;49.66
AED;Emiratos Árabes Unidos;30-7-2016;90.4
AED;Emiratos Árabes Unidos;6-8-2016;86.94
AED;Emiratos Árabes Unidos;13-8-2016;29.99
AED;Emiratos Árabes Unidos;20-8-2016;32.48
AED;Emiratos Árabes Unidos;27-8-2016;30.94
AED;Emiratos Árabes Unidos;3-9-2016;40.19
AED;Emiratos Árabes Unidos;10-9-2016;45.66
AED;Emiratos Árabes Unidos;17-9-2016;89.31
AED;Emiratos Árabes Unidos;24-9-2016;62.36
AED;Emiratos Árabes Unidos;1-10-2016;37.62
AED;Emiratos Árabes Unidos;8-10-2016;111.21
AED;Emiratos Árabes Unidos;15-10-2016;22.24
AED;Emiratos Árabes Unidos;22-10-2016;51.67
AED;Emiratos Árabes Unidos;29-10-2016;27.8
AED;Emiratos Árabes Unidos;5-11-2016;32.02
AED;Emiratos Árabes Unidos;12-11-2016;54.2
AED;Emiratos Árabes Unidos;19-11-2016;53.37
AED;Emiratos Árabes Unidos;26-11-2016;54.4191
AED;Emiratos Árabes Unidos;3-12-2016;122.62
AED;Emiratos Árabes Unidos;10-12-2016;65.17
AED;Emiratos Árabes Unidos;17-12-2016;55.92
AED;Emiratos Árabes Unidos;24-12-2016;60.04
AED;Emiratos Árabes Unidos;31-12-2016;32.82
AED;Emiratos Árabes Unidos;7-1-2017;43.86
AED;Emiratos Árabes Unidos;14-1-2017;36.75
AED;Emiratos Árabes Unidos;21-1-2017;40.5806
AED;Emiratos Árabes Unidos;28-1-2017;35.1384
AED;Emiratos Árabes Unidos;4-2-2017;40.3483
AED;Emiratos Árabes Unidos;11-2-2017;52.44
AED;Emiratos Árabes Unidos;18-2-2017;38.2386
AED;Emiratos Árabes Unidos;25-2-2017;16.5831
AED;Emiratos Árabes Unidos;4-3-2017;51.5902
