,Currency,Country,Label,Value,Year
13806,PHP,Filipinas,2013-12-28,12.04,2013
7880,IDR,Indonesia,2013-12-28,0.1,2013
11186,MXN,México,2013-12-28,41.27,2013
1377,BRL,Brasil,2013-12-28,7.84,2013
11623,MYR,Malasia,2013-12-28,19.74,2013
6579,HKD,Hong Kong,2013-02-11,4.91,2013
18944,USD,Estados Unidos,2013-08-06,937.37,2013
18971,USD,Estados Unidos,2013-12-14,1826.96,2013
16402,SEK,Suecia,2013-02-11,30.48,2013
4455,DKK,Dinamarca,2013-05-10,3.0,2013
13771,PHP,Filipinas,2013-04-27,6.21,2013
3991,CZK,República Checa,2013-08-06,3.9,2013
446,ARS,Argentina,2013-08-06,3.99,2013
16832,SGD,Singapur,2013-08-06,0.0,2013
8302,INR,India,2013-08-06,0.0,2013
5265,EGP,Egipto,2013-02-11,0.65,2013
11178,MXN,México,2013-02-11,60.59,2013
926,AUD,Australia,2013-12-28,197.23,2013
2249,CHF,Suiza,2013-08-06,5.93,2013
4438,DKK,Dinamarca,2013-08-06,0.0,2013
16853,SGD,Singapur,2013-02-11,128.64,2013
2265,CHF,Suiza,2013-09-28,11.08,2013
12472,NOK,Noruega,2013-08-06,13.71,2013
13777,PHP,Filipinas,2013-08-06,5.15,2013
16381,SEK,Suecia,2013-08-06,1.04,2013
6109,GBP,Reino Unido,2013-08-06,2247.17,2013
7429,HUF,Hungria,2013-02-11,7.01,2013
5650,EUR,Europa,2013-04-20,406.75,2013
5657,EUR,Europa,2013-08-06,359.97,2013
12953,NZD,Nueva Zelanda,2013-12-28,52.72,2013
18515,UAH,Ucrania,2013-11-22,0.0,2013
9978,KRW,Corea del Sur,2013-02-11,23.0628,2013
12041,NGN,Nigeria,2013-02-11,0.0,2013
14638,PLN,Polonia,2013-02-11,7.37,2013
6102,GBP,Reino Unido,2013-04-20,2420.03,2013
890,AUD,Australia,2013-04-20,682.44,2013
1341,BRL,Brasil,2013-04-20,2.0,2013
7022,HRK,Croacia,2013-09-28,0.76,2013
9973,KRW,Corea del Sur,2013-09-28,0.717,2013
6574,HKD,Hong Kong,2013-09-28,93.56,2013
16848,SGD,Singapur,2013-09-28,14.31,2013
6125,GBP,Reino Unido,2013-09-28,3628.73,2013
13793,PHP,Filipinas,2013-09-28,6.33,2013
19977,ZAR,Sudáfrica,2013-09-28,66.52,2013
7424,HUF,Hungria,2013-09-28,1.92,2013
15535,RUB,Rusia,2013-09-28,7.96,2013
12924,NZD,Nueva Zelanda,2013-08-06,0.0,2013
897,AUD,Australia,2013-08-06,508.57,2013
12495,NOK,Noruega,2013-11-16,47.58,2013
16379,SEK,Suecia,2013-05-25,10.14,2013
3131,CNY,China,2013-11-16,17.27,2013
12947,NZD,Nueva Zelanda,2013-11-16,43.5,2013
17734,TRY,Turquia,2013-11-22,0.0,2013
4436,DKK,Dinamarca,2013-05-25,0.0,2013
12501,NOK,Noruega,2013-12-28,16.98,2013
7035,HRK,Croacia,2013-12-28,0.96,2013
12917,NZD,Nueva Zelanda,2013-04-20,6.4,2013
6138,GBP,Reino Unido,2013-12-28,1108.5,2013
9139,JPY,Japón,2013-12-28,3.56,2013
27,AED,Emiratos Árabes Unidos,2013-12-28,6.2,2013
2708,CLP,Chile,2013-12-28,7.53,2013
12488,NOK,Noruega,2013-09-28,55.77,2013
1816,CAD,Canadá,2013-09-28,370.47,2013
16855,SGD,Singapur,2013-11-16,46.63,2013
9980,KRW,Corea del Sur,2013-11-16,3.129,2013
12044,NGN,Nigeria,2013-11-16,0.26,2013
3554,COP,Colombia,2013-08-24,0.0,2013
11602,MYR,Malasia,2013-03-08,0.0,2013
16851,SGD,Singapur,2013-10-19,43.76,2013
14646,PLN,Polonia,2013-12-28,6.02,2013
17731,TRY,Turquia,2013-02-11,0.0,2013
19982,ZAR,Sudáfrica,2013-02-11,43.84,2013
9130,JPY,Japón,2013-10-26,2.14,2013
16861,SGD,Singapur,2013-12-28,10.4,2013
2270,CHF,Suiza,2013-02-11,50.98,2013
13797,PHP,Filipinas,2013-10-26,24.46,2013
18512,UAH,Ucrania,2013-02-11,0.0,2013
1823,CAD,Canadá,2013-11-16,389.4,2013
17737,TRY,Turquia,2013-07-12,0.0,2013
1371,BRL,Brasil,2013-11-16,16.45,2013
5680,EUR,Europa,2013-11-16,1962.54,2013
469,ARS,Argentina,2013-11-16,45.63,2013
15085,RON,Rumanía,2013-09-28,16.22,2013
17298,THB,Tailandia,2013-09-28,135.51,2013
11169,MXN,México,2013-08-31,10.44,2013
18960,USD,Estados Unidos,2013-09-28,7983.33,2013
15062,RON,Rumanía,2013-04-20,2.02,2013
12465,NOK,Noruega,2013-04-20,19.62,2013
7872,IDR,Indonesia,2013-02-11,1.5,2013
1369,BRL,Brasil,2013-02-11,20.77,2013
2700,CLP,Chile,2013-02-11,2.46,2013
3564,COP,Colombia,2013-02-11,1.2,2013
6130,GBP,Reino Unido,2013-02-11,3267.19,2013
467,ARS,Argentina,2013-02-11,23.34,2013
17303,THB,Tailandia,2013-02-11,69.73,2013
1821,CAD,Canadá,2013-02-11,160.33,2013
15090,RON,Rumanía,2013-02-11,27.01,2013
16827,SGD,Singapur,2013-04-05,1.01,2013
14627,PLN,Polonia,2013-08-17,2.29,2013
2244,CHF,Suiza,2013-04-05,20.38,2013
7851,IDR,Indonesia,2013-08-06,0.0,2013
7006,HRK,Croacia,2013-08-06,0.0,2013
15519,RUB,Rusia,2013-08-06,0.0,2013
3555,COP,Colombia,2013-08-31,33.61,2013
3124,CNY,China,2013-09-28,0.0,2013
7437,HUF,Hungria,2013-12-28,0.94,2013
15081,RON,Rumanía,2013-08-31,1.83,2013
6121,GBP,Reino Unido,2013-08-31,3795.49,2013
8300,INR,India,2013-05-25,7.35,2013
11155,MXN,México,2013-05-25,2.0,2013
15517,RUB,Rusia,2013-05-25,0.0,2013
16393,SEK,Suecia,2013-08-31,16.01,2013
19973,ZAR,Sudáfrica,2013-08-31,63.19,2013
909,AUD,Australia,2013-08-31,1355.46,2013
17722,TRY,Turquia,2013-08-31,1.0,2013
18967,USD,Estados Unidos,2013-11-16,3893.71,2013
18956,USD,Estados Unidos,2013-08-31,5949.96,2013
17294,THB,Tailandia,2013-08-31,308.75,2013
14629,PLN,Polonia,2013-08-31,14.29,2013
4450,DKK,Dinamarca,2013-08-31,6.52,2013
9122,JPY,Japón,2013-08-31,0.0,2013
15531,RUB,Rusia,2013-08-31,0.0,2013
7018,HRK,Croacia,2013-08-31,3.63,2013
19990,ZAR,Sudáfrica,2013-12-28,19.41,2013
7420,HUF,Hungria,2013-08-31,3.26,2013
7,AED,Emiratos Árabes Unidos,2013-08-17,0.0,2013
2261,CHF,Suiza,2013-08-31,1.05,2013
15514,RUB,Rusia,2013-04-05,0.0,2013
5652,EUR,Europa,2013-04-05,279.81,2013
12484,NOK,Noruega,2013-08-31,52.91,2013
16830,SGD,Singapur,2013-05-25,0.0,2013
5269,EGP,Egipto,2013-12-14,0.0,2013
19988,ZAR,Sudáfrica,2013-12-14,29.86,2013
1829,CAD,Canadá,2013-12-28,88.52,2013
19978,ZAR,Sudáfrica,2013-05-10,75.42,2013
12941,NZD,Nueva Zelanda,2013-05-10,45.68,2013
2243,CHF,Suiza,2013-04-27,19.72,2013
8312,INR,India,2013-08-17,3.13,2013
456,ARS,Argentina,2013-08-17,8.57,2013
4448,DKK,Dinamarca,2013-08-17,0.17,2013
18954,USD,Estados Unidos,2013-08-17,6022.41,2013
12482,NOK,Noruega,2013-08-17,51.36,2013
1360,BRL,Brasil,2013-08-31,4.08,2013
9969,KRW,Corea del Sur,2013-08-31,12.0447,2013
7431,HUF,Hungria,2013-11-16,5.17,2013
16376,SEK,Suecia,2013-04-05,3.87,2013
6114,GBP,Reino Unido,2013-07-13,3383.91,2013
18949,USD,Estados Unidos,2013-07-13,2117.42,2013
15063,RON,Rumanía,2013-04-27,0.0,2013
17299,THB,Tailandia,2013-05-10,148.79,2013
8319,INR,India,2013-05-10,2.57,2013
3986,CZK,República Checa,2013-04-05,0.0,2013
7011,HRK,Croacia,2013-07-13,2.68,2013
2705,CLP,Chile,2013-07-12,17.25,2013
15088,RON,Rumanía,2013-10-19,19.7,2013
891,AUD,Australia,2013-04-27,321.08,2013
1794,CAD,Canadá,2013-04-27,35.46,2013
5651,EUR,Europa,2013-04-27,185.71,2013
4432,DKK,Dinamarca,2013-04-27,0.0,2013
6103,GBP,Reino Unido,2013-04-27,2145.04,2013
7000,HRK,Croacia,2013-04-27,0.17,2013
4433,DKK,Dinamarca,2013-04-05,0.0,2013
451,ARS,Argentina,2013-07-13,10.65,2013
19966,ZAR,Sudáfrica,2013-07-13,14.61,2013
16386,SEK,Suecia,2013-07-13,11.88,2013
441,ARS,Argentina,2013-04-05,4.74,2013
3548,COP,Colombia,2013-07-13,57.24,2013
902,AUD,Australia,2013-07-13,773.51,2013
15074,RON,Rumanía,2013-07-13,20.86,2013
17277,THB,Tailandia,2013-04-05,1.52,2013
17292,THB,Tailandia,2013-08-17,69.58,2013
2254,CHF,Suiza,2013-07-13,9.53,2013
14622,PLN,Polonia,2013-07-13,0.0,2013
11599,MYR,Malasia,2013-07-13,0.0,2013
15064,RON,Rumanía,2013-04-05,0.3,2013
1343,BRL,Brasil,2013-04-05,0.0,2013
3553,COP,Colombia,2013-08-17,0.0,2013
5667,EUR,Europa,2013-08-17,845.12,2013
16391,SEK,Suecia,2013-08-17,20.14,2013
472,ARS,Argentina,2013-07-12,33.65,2013
19971,ZAR,Sudáfrica,2013-08-17,31.8,2013
1805,CAD,Canadá,2013-07-13,51.84,2013
17276,THB,Tailandia,2013-04-27,11.77,2013
7016,HRK,Croacia,2013-08-17,1.31,2013
7861,IDR,Indonesia,2013-08-17,0.0,2013
4008,CZK,República Checa,2013-05-10,24.55,2013
7425,HUF,Hungria,2013-05-10,5.27,2013
1817,CAD,Canadá,2013-05-10,283.04,2013
907,AUD,Australia,2013-08-17,821.15,2013
13773,PHP,Filipinas,2013-11-05,0.0,2013
17278,THB,Tailandia,2013-11-05,1.1,2013
18940,USD,Estados Unidos,2013-11-05,331.93,2013
2245,CHF,Suiza,2013-11-05,24.83,2013
17302,THB,Tailandia,2013-10-26,404.86,2013
4458,DKK,Dinamarca,2013-10-26,0.0,2013
1358,BRL,Brasil,2013-08-17,61.39,2013
18939,USD,Estados Unidos,2013-04-05,302.98,2013
4001,CZK,República Checa,2013-08-17,46.43,2013
16842,SGD,Singapur,2013-08-17,2.31,2013
6575,HKD,Hong Kong,2013-05-10,45.28,2013
7001,HRK,Croacia,2013-04-05,0.17,2013
6568,HKD,Hong Kong,2013-08-17,0.52,2013
462,ARS,Argentina,2013-09-28,12.28,2013
7418,HUF,Hungria,2013-08-17,2.0,2013
8297,INR,India,2013-04-05,0.99,2013
12934,NZD,Nueva Zelanda,2013-08-17,50.34,2013
15529,RUB,Rusia,2013-08-17,0.0,2013
12467,NOK,Noruega,2013-04-05,8.07,2013
15079,RON,Rumanía,2013-08-17,0.06,2013
2689,CLP,Chile,2013-08-17,10.0,2013
12919,NZD,Nueva Zelanda,2013-04-05,7.34,2013
892,AUD,Australia,2013-04-05,276.15,2013
1795,CAD,Canadá,2013-04-05,63.86,2013
9967,KRW,Corea del Sur,2013-08-17,3.3,2013
14643,PLN,Polonia,2013-07-12,10.32,2013
2259,CHF,Suiza,2013-08-17,22.77,2013
5674,EUR,Europa,2013-05-10,2011.93,2013
9120,JPY,Japón,2013-08-17,0.31,2013
14633,PLN,Polonia,2013-09-28,2.27,2013
13772,PHP,Filipinas,2013-04-05,0.0,2013
7032,HRK,Croacia,2013-07-12,0.0,2013
17730,TRY,Turquia,2013-10-26,0.0,2013
4457,DKK,Dinamarca,2013-10-19,0.0,2013
2,AED,Emiratos Árabes Unidos,2013-07-13,0.0,2013
18510,UAH,Ucrania,2013-10-19,0.0,2013
12943,NZD,Nueva Zelanda,2013-10-19,66.19,2013
5676,EUR,Europa,2013-10-19,2037.18,2013
9129,JPY,Japón,2013-10-19,0.61,2013
6577,HKD,Hong Kong,2013-10-19,10.54,2013
6128,GBP,Reino Unido,2013-10-19,3628.39,2013
4010,CZK,República Checa,2013-10-19,17.5,2013
1367,BRL,Brasil,2013-10-19,8.15,2013
9976,KRW,Corea del Sur,2013-10-19,4.9,2013
8321,INR,India,2013-10-19,7.95,2013
19980,ZAR,Sudáfrica,2013-10-19,129.84,2013
18963,USD,Estados Unidos,2013-10-19,6018.7,2013
465,ARS,Argentina,2013-10-19,22.81,2013
3562,COP,Colombia,2013-10-19,0.2,2013
8307,INR,India,2013-07-13,3.27,2013
11176,MXN,México,2013-10-19,74.87,2013
13782,PHP,Filipinas,2013-07-13,0.0,2013
16400,SEK,Suecia,2013-10-19,20.16,2013
7427,HUF,Hungria,2013-10-19,8.97,2013
17301,THB,Tailandia,2013-10-19,217.29,2013
16375,SEK,Suecia,2013-04-27,5.77,2013
18508,UAH,Ucrania,2013-05-10,0.0,2013
914,AUD,Australia,2013-05-10,850.04,2013
11174,MXN,México,2013-05-10,70.3,2013
17287,THB,Tailandia,2013-07-13,49.14,2013
6563,HKD,Hong Kong,2013-07-13,29.78,2013
2268,CHF,Suiza,2013-10-19,69.92,2013
7432,HUF,Hungria,2013-11-23,10.68,2013
11162,MXN,México,2013-07-13,1.5,2013
5662,EUR,Europa,2013-07-13,878.09,2013
12477,NOK,Noruega,2013-07-13,47.8,2013
16837,SGD,Singapur,2013-07-13,0.0,2013
12929,NZD,Nueva Zelanda,2013-07-13,3.25,2013
13796,PHP,Filipinas,2013-10-19,10.7,2013
3996,CZK,República Checa,2013-07-13,20.05,2013
7856,IDR,Indonesia,2013-07-13,0.05,2013
1353,BRL,Brasil,2013-07-13,18.86,2013
9136,JPY,Japón,2013-07-12,5.12,2013
15538,RUB,Rusia,2013-10-19,9.73,2013
2698,CLP,Chile,2013-10-19,0.0,2013
7025,HRK,Croacia,2013-10-19,4.12,2013
12047,NGN,Nigeria,2013-07-12,0.85,2013
923,AUD,Australia,2013-07-12,471.59,2013
6584,HKD,Hong Kong,2013-07-12,77.54,2013
17308,THB,Tailandia,2013-07-12,96.87,2013
9983,KRW,Corea del Sur,2013-07-12,6.0689,2013
8328,INR,India,2013-07-12,22.23,2013
15545,RUB,Rusia,2013-07-12,9.23,2013
7434,HUF,Hungria,2013-07-12,7.47,2013
19987,ZAR,Sudáfrica,2013-07-12,29.43,2013
4443,DKK,Dinamarca,2013-07-13,0.0,2013
16826,SGD,Singapur,2013-04-27,0.0,2013
12918,NZD,Nueva Zelanda,2013-04-27,14.87,2013
6135,GBP,Reino Unido,2013-07-12,3091.17,2013
15524,RUB,Rusia,2013-07-13,0.1,2013
5268,EGP,Egipto,2013-07-12,0.0,2013
3134,CNY,China,2013-07-12,49.05,2013
13803,PHP,Filipinas,2013-07-12,29.22,2013
1826,CAD,Canadá,2013-07-12,205.66,2013
2275,CHF,Suiza,2013-07-12,79.17,2013
10741,MAD,Marruecos,2013-07-12,0.0,2013
9552,KES,Kenia,2013-07-12,0.02,2013
